yyyy,mm,tmax,tmin,af,rain,sun
1903.0,7.0,19.2,11.5,0.0,58.9,nan
1903.0,8.0,17.6,10.7,0.0,107.8,nan
1903.0,9.0,16.6,9.1,0.0,100.5,nan
1903.0,10.0,12.8,7.3,0.0,182.6,nan
1903.0,11.0,9.3,4.1,2.0,42.8,nan
1903.0,12.0,5.2,1.2,8.0,44.7,nan
1904.0,1.0,6.6,1.7,7.0,80.6,nan
1904.0,2.0,4.9,0.8,7.0,131.7,nan
1904.0,3.0,7.3,1.3,7.0,52.1,nan
1904.0,4.0,12.1,5.2,0.0,60.4,nan
1904.0,5.0,14.5,6.8,0.0,63.1,nan
1904.0,6.0,17.3,9.1,0.0,17.3,nan
1904.0,7.0,21.3,12.3,0.0,50.5,nan
1904.0,8.0,19.2,11.1,0.0,96.1,nan
1904.0,9.0,16.9,8.7,0.0,28.1,nan
1904.0,10.0,13.4,6.8,0.0,17.3,nan
1904.0,11.0,8.7,3.7,6.0,57.2,nan
1904.0,12.0,6.5,1.6,11.0,46.8,nan
1905.0,1.0,6.5,1.6,13.0,35.9,nan
1905.0,2.0,7.5,2.5,4.0,32.4,nan
1905.0,3.0,10.4,3.5,0.0,72.0,nan
1905.0,4.0,10.1,3.8,3.0,59.5,nan
1905.0,5.0,14.9,6.5,0.0,10.5,nan
1905.0,6.0,19.0,10.0,0.0,77.5,nan
1905.0,7.0,21.8,13.3,0.0,40.6,nan
1905.0,8.0,18.5,11.0,0.0,103.0,nan
1905.0,9.0,15.7,9.3,0.0,28.9,nan
1905.0,10.0,10.4,4.5,0.0,44.7,nan
1905.0,11.0,7.5,2.9,3.0,99.1,nan
1905.0,12.0,7.5,3.0,3.0,14.9,nan
1906.0,1.0,7.2,2.9,4.0,97.8,nan
1906.0,2.0,5.6,0.4,14.0,76.4,nan
1906.0,3.0,8.6,1.5,13.0,59.5,nan
1906.0,4.0,12.0,2.2,4.0,16.0,nan
1906.0,5.0,13.9,6.9,0.0,48.9,nan
1906.0,6.0,18.6,9.9,0.0,44.9,nan
1906.0,7.0,20.4,11.6,0.0,36.9,nan
1906.0,8.0,21.3,12.8,0.0,44.1,nan
1906.0,9.0,18.7,10.0,0.0,17.9,nan
1906.0,10.0,13.8,7.8,0.0,141.4,nan
1906.0,11.0,10.2,5.0,1.0,86.4,nan
1906.0,12.0,5.9,0.8,12.0,77.4,nan
1907.0,1.0,6.4,1.3,10.0,35.2,nan
1907.0,2.0,6.0,0.4,13.0,57.6,nan
1907.0,3.0,11.1,2.8,5.0,65.5,nan
1907.0,4.0,11.0,3.8,2.0,56.7,nan
1907.0,5.0,13.7,6.5,0.0,97.3,nan
1907.0,6.0,15.9,9.0,0.0,92.2,nan
1907.0,7.0,17.1,10.0,0.0,53.2,nan
1907.0,8.0,18.2,10.6,0.0,55.9,nan
1907.0,9.0,18.3,9.3,0.0,11.6,nan
1907.0,10.0,13.0,6.7,0.0,136.8,nan
1907.0,11.0,9.5,4.5,3.0,84.4,nan
1907.0,12.0,6.6,2.2,7.0,57.0,nan
1908.0,1.0,5.8,0.5,16.0,46.3,nan
1908.0,2.0,7.9,2.8,3.0,58.7,nan
1908.0,3.0,6.9,1.0,13.0,80.2,nan
1908.0,4.0,9.0,2.3,5.0,60.2,nan
1908.0,5.0,16.8,8.3,0.0,59.4,nan
1908.0,6.0,18.2,9.4,0.0,39.6,nan
1908.0,7.0,19.5,11.6,0.0,64.8,nan
1908.0,8.0,18.1,10.6,0.0,78.4,nan
1908.0,9.0,16.7,9.4,0.0,39.4,nan
1908.0,10.0,15.3,9.0,0.0,28.9,nan
1908.0,11.0,10.2,4.6,3.0,38.1,nan
1908.0,12.0,6.1,1.5,7.0,51.6,nan
1909.0,1.0,6.2,1.2,9.0,51.8,nan
1909.0,2.0,5.9,0.5,17.0,16.7,nan
1909.0,3.0,6.4,0.7,16.0,108.0,nan
1909.0,4.0,13.9,4.1,2.0,43.2,nan
1909.0,5.0,15.6,5.8,0.0,50.4,nan
1909.0,6.0,15.1,8.2,0.0,79.4,nan
1909.0,7.0,18.1,11.2,0.0,84.4,nan
1909.0,8.0,20.3,11.5,0.0,55.1,nan
1909.0,9.0,14.7,9.0,0.0,57.3,nan
1909.0,10.0,13.7,6.9,1.0,72.6,nan
1909.0,11.0,8.1,3.2,4.0,17.7,nan
1909.0,12.0,6.1,1.6,8.0,167.5,nan
1910.0,1.0,6.0,1.0,11.0,75.0,nan
1910.0,2.0,7.5,2.1,3.0,89.5,nan
1910.0,3.0,10.0,2.9,2.0,22.7,nan
1910.0,4.0,10.8,3.2,2.0,61.4,nan
1910.0,5.0,14.8,6.9,0.0,60.8,nan
1910.0,6.0,18.8,10.4,0.0,66.1,nan
1910.0,7.0,17.7,10.3,0.0,45.9,nan
1910.0,8.0,18.7,11.6,0.0,87.9,nan
1910.0,9.0,15.6,9.5,0.0,7.6,nan
1910.0,10.0,13.3,8.2,0.0,58.8,nan
1910.0,11.0,5.9,0.9,8.0,102.2,nan
1910.0,12.0,8.2,4.0,2.0,109.5,nan
1911.0,1.0,6.2,1.7,7.0,31.8,nan
1911.0,2.0,7.6,2.5,2.0,74.3,nan
1911.0,3.0,7.0,2.2,1.0,30.9,nan
1911.0,4.0,10.7,4.1,4.0,35.3,nan
1911.0,5.0,17.3,8.5,0.0,25.1,nan
1911.0,6.0,18.8,9.6,0.0,53.5,nan
1911.0,7.0,23.4,12.4,0.0,3.8,nan
1911.0,8.0,23.0,13.4,0.0,43.8,nan
1911.0,9.0,18.6,9.4,0.0,54.1,nan
1911.0,10.0,11.8,6.5,1.0,55.7,nan
1911.0,11.0,8.5,3.7,1.0,101.3,nan
1911.0,12.0,8.1,3.8,0.0,137.2,nan
1912.0,1.0,5.4,1.2,9.0,128.3,nan
1912.0,2.0,7.3,2.5,6.0,40.7,nan
1912.0,3.0,9.7,4.2,1.0,87.4,nan
1912.0,4.0,12.9,4.3,1.0,12.9,nan
1912.0,5.0,15.3,7.8,0.0,93.0,nan
1912.0,6.0,17.5,10.0,0.0,98.5,nan
1912.0,7.0,18.8,11.9,0.0,131.0,nan
1912.0,8.0,16.0,9.6,0.0,144.5,nan
1912.0,9.0,14.3,8.0,0.0,30.0,nan
1912.0,10.0,12.5,5.2,0.0,72.3,nan
1912.0,11.0,8.8,4.5,3.0,58.0,nan
1912.0,12.0,9.3,4.1,1.0,100.5,nan
1913.0,1.0,6.0,1.5,9.0,95.5,nan
1913.0,2.0,8.3,2.2,4.0,30.4,nan
1913.0,3.0,8.8,2.6,1.0,110.8,nan
1913.0,4.0,11.3,4.0,2.0,77.7,nan
1913.0,5.0,15.5,7.3,0.0,55.3,nan
1913.0,6.0,18.2,9.8,0.0,20.8,nan
1913.0,7.0,17.7,10.8,0.0,39.7,nan
1913.0,8.0,19.1,11.1,0.0,31.2,nan
1913.0,9.0,17.4,10.5,0.0,76.1,nan
1913.0,10.0,13.6,8.2,0.0,105.2,nan
1913.0,11.0,11.1,5.7,1.0,82.0,nan
1913.0,12.0,7.3,3.4,5.0,49.3,nan
1914.0,1.0,6.1,2.0,10.0,41.0,nan
1914.0,2.0,9.5,4.2,0.0,50.2,nan
1914.0,3.0,9.1,3.1,1.0,66.3,nan
1914.0,4.0,14.8,5.2,0.0,33.7,nan
1914.0,5.0,14.6,6.6,1.0,37.6,nan
1914.0,6.0,19.1,10.0,0.0,55.5,nan
1914.0,7.0,20.2,12.3,0.0,63.5,nan
1914.0,8.0,20.7,12.0,0.0,32.5,nan
1914.0,9.0,17.6,9.1,0.0,40.7,nan
1914.0,10.0,13.1,7.9,0.0,57.5,nan
1914.0,11.0,9.2,4.4,0.0,101.4,nan
1914.0,12.0,6.6,2.4,2.0,154.6,nan
1915.0,1.0,6.2,2.1,1.0,90.9,nan
1915.0,2.0,6.6,1.3,8.0,106.4,nan
1915.0,3.0,8.7,2.0,10.0,27.0,nan
1915.0,4.0,11.5,4.0,0.0,31.2,nan
1915.0,5.0,15.0,5.8,0.0,37.7,nan
1915.0,6.0,19.0,9.5,0.0,39.6,nan
1915.0,7.0,18.3,11.2,0.0,108.2,nan
1915.0,8.0,19.3,11.6,0.0,56.5,nan
1915.0,9.0,17.5,9.5,0.0,16.7,nan
1915.0,10.0,11.8,6.5,0.0,41.4,nan
1915.0,11.0,6.1,1.5,6.0,81.4,nan
1915.0,12.0,7.2,2.8,1.0,198.0,nan
1916.0,1.0,10.4,5.0,0.0,44.5,nan
1916.0,2.0,5.9,1.0,5.0,136.3,nan
1916.0,3.0,5.0,0.4,14.0,126.3,nan
1916.0,4.0,12.4,4.4,0.0,35.4,nan
1916.0,5.0,15.5,7.4,0.0,67.3,nan
1916.0,6.0,15.1,8.0,0.0,56.0,nan
1916.0,7.0,18.9,11.6,0.0,30.6,nan
1916.0,8.0,20.8,12.6,0.0,37.0,nan
1916.0,9.0,16.2,9.4,0.0,38.2,nan
1916.0,10.0,13.6,7.5,0.0,90.7,nan
1916.0,11.0,9.5,4.5,1.0,100.1,nan
1916.0,12.0,4.9,0.5,9.0,78.3,nan
1917.0,1.0,3.1,0.3,16.0,54.2,nan
1917.0,2.0,4.0,-0.8,15.0,16.2,nan
1917.0,3.0,5.9,-0.1,15.0,64.0,nan
1917.0,4.0,8.7,1.4,11.0,45.9,nan
1917.0,5.0,17.2,7.7,1.0,43.0,nan
1917.0,6.0,19.4,10.3,0.0,65.1,nan
1917.0,7.0,20.4,11.7,0.0,26.2,nan
1917.0,8.0,19.0,12.2,0.0,128.6,nan
1917.0,9.0,18.1,10.8,0.0,21.6,nan
1917.0,10.0,11.2,4.4,0.0,101.9,nan
1917.0,11.0,10.9,6.2,1.0,54.6,nan
1917.0,12.0,5.2,0.7,10.0,38.3,nan
1918.0,1.0,6.4,1.3,10.0,66.8,nan
1918.0,2.0,8.9,3.7,4.0,73.1,nan
1918.0,3.0,9.1,2.4,6.0,36.7,nan
1918.0,4.0,10.0,3.4,1.0,34.8,nan
1918.0,5.0,17.9,8.3,0.0,69.0,nan
1918.0,6.0,17.3,9.0,0.0,14.8,nan
1918.0,7.0,nan,nan,nan,103.7,nan
1918.0,8.0,nan,nan,nan,44.7,nan
1918.0,9.0,nan,nan,nan,178.5,nan
1918.0,10.0,nan,nan,nan,50.2,nan
1918.0,11.0,nan,nan,nan,39.6,nan
1918.0,12.0,nan,nan,nan,116.4,nan
1919.0,1.0,nan,nan,nan,112.3,nan
1919.0,2.0,nan,nan,nan,56.6,nan
1919.0,3.0,nan,nan,nan,114.8,nan
1919.0,4.0,nan,nan,nan,43.6,nan
1919.0,5.0,nan,nan,nan,41.1,nan
1919.0,6.0,nan,nan,nan,13.2,nan
1919.0,7.0,nan,nan,nan,116.4,nan
1919.0,8.0,nan,nan,nan,76.4,nan
1919.0,9.0,nan,nan,nan,63.1,nan
1919.0,10.0,nan,nan,nan,78.1,nan
1919.0,11.0,nan,nan,nan,57.5,nan
1919.0,12.0,nan,nan,nan,136.6,nan
1920.0,1.0,7.9,2.2,4.0,104.9,nan
1920.0,2.0,8.8,3.0,1.0,81.0,nan
1920.0,3.0,10.7,3.7,3.0,56.8,nan
1920.0,4.0,10.4,4.8,0.0,122.6,nan
1920.0,5.0,15.7,7.5,0.0,79.1,nan
1920.0,6.0,18.4,9.6,0.0,88.1,nan
1920.0,7.0,17.5,10.8,0.0,110.8,nan
1920.0,8.0,17.1,10.3,0.0,22.6,nan
1920.0,9.0,16.6,9.4,0.0,28.6,nan
1920.0,10.0,13.4,7.5,0.0,50.5,nan
1920.0,11.0,9.5,4.9,1.0,29.2,nan
1920.0,12.0,6.6,2.5,5.0,82.7,nan
1921.0,1.0,9.5,4.5,2.0,85.3,nan
1921.0,2.0,7.1,2.7,2.0,8.6,nan
1921.0,3.0,10.6,4.1,1.0,48.6,nan
1921.0,4.0,12.4,4.2,2.0,23.4,nan
1921.0,5.0,16.1,6.7,0.0,31.8,nan
1921.0,6.0,19.3,9.6,0.0,8.4,nan
1921.0,7.0,23.8,12.7,0.0,11.5,nan
1921.0,8.0,19.2,11.7,0.0,121.5,nan
1921.0,9.0,18.5,10.3,0.0,28.4,nan
1921.0,10.0,16.7,9.6,0.0,56.3,nan
1921.0,11.0,7.2,2.4,6.0,48.8,nan
1921.0,12.0,9.2,4.1,2.0,105.7,nan
1922.0,1.0,5.3,0.9,9.0,111.5,nan
1922.0,2.0,6.8,0.9,11.0,81.1,nan
1922.0,3.0,6.7,1.6,4.0,50.9,nan
1922.0,4.0,8.9,1.7,3.0,96.6,nan
1922.0,5.0,17.9,8.3,0.0,20.7,nan
1922.0,6.0,18.2,9.1,0.0,32.1,nan
1922.0,7.0,17.2,9.9,0.0,83.3,nan
1922.0,8.0,16.8,10.2,0.0,197.7,nan
1922.0,9.0,15.3,8.9,0.0,72.6,nan
1922.0,10.0,11.4,5.5,0.0,26.0,nan
1922.0,11.0,9.1,3.7,1.0,37.3,nan
1922.0,12.0,7.8,3.5,1.0,94.4,nan
1923.0,1.0,8.5,4.1,0.0,36.2,nan
1923.0,2.0,7.0,2.3,4.0,153.0,nan
1923.0,3.0,9.5,3.3,1.0,46.8,nan
1923.0,4.0,10.5,3.8,0.0,59.2,nan
1923.0,5.0,12.5,5.4,0.0,80.8,nan
1923.0,6.0,15.3,8.9,0.0,19.6,nan
1923.0,7.0,nan,nan,nan,119.6,nan
1923.0,8.0,nan,nan,nan,73.3,nan
1923.0,9.0,nan,nan,nan,59.1,nan
1923.0,10.0,nan,nan,nan,51.8,nan
1923.0,11.0,nan,nan,nan,115.4,nan
1923.0,12.0,nan,nan,nan,69.1,nan
1924.0,1.0,6.6,2.3,8.0,54.2,nan
1924.0,2.0,5.6,1.2,11.0,31.3,nan
1924.0,3.0,7.5,-0.3,18.0,21.8,nan
1924.0,4.0,10.8,2.9,3.0,49.1,nan
1924.0,5.0,15.2,7.6,0.0,93.8,nan
1924.0,6.0,17.9,10.1,0.0,40.4,nan
1924.0,7.0,19.2,11.5,0.0,65.6,nan
1924.0,8.0,17.5,10.7,0.0,63.2,nan
